OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,230376,307064,204390,163152,111344
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,192857,265926,165977,133389,93250
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,226634,281772,193208,153114,104003
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,178739,288876,195230,149806,110743
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,261800,319536,216469,177444,114244
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,238922,297523,203631,164343,97399
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,267123,378327,243274,195476,124657
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-07-01T00:00:00,2022-07-31T23:59:59,Month,2022-07,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,214764,284445,183450,148584,106540
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-06-01T00:00:00,2022-06-30T23:59:59,Month,2022-06,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,228914,305617,202667,161778,110817
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-06-01T00:00:00,2022-06-30T23:59:59,Month,2022-06,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,194250,268457,166667,133928,93860
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-06-01T00:00:00,2022-06-30T23:59:59,Month,2022-06,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,227421,283201,193430,153168,104266
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-06-01T00:00:00,2022-06-30T23:59:59,Month,2022-06,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,178802,290111,195148,149508,111044
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-06-01T00:00:00,2022-06-30T23:59:59,Month,2022-06,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,257581,314776,212507,174288,112576
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-06-01T00:00:00,2022-06-30T23:59:59,Month,2022-06,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,237333,296041,201770,162748,96646
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-06-01T00:00:00,2022-06-30T23:59:59,Month,2022-06,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,263503,373864,239661,192414,123032
